Men TT Cat 4/5
5,530451,Lynn,Mueller,,,36:23.0,Cycle Craft/Bulldogs

Senior Men
1,211807,Michael,Margarite,,,19:42.0,CRCA/Jamison-Cannondale
2,424739,Joseph,Lacey,,,20:32.0,CRCA/42x21ATQ
3,482035,Chris,Yura,,,20:33.0,Honey Stinger Hive
4,200872,David,Freifelder,,,21:05.0,Westwood Cycle
5,391278,Constantin,Schreiber,,,22:19.0,CRCA / Team VESELKA
6,295486,Silas,Clark,,,22:25.0,Team Hb Hilltop
7,560273,Santiago,Pelaez,,,22:35.0,CRCA/Foundation
8,248847,Toby,Hanna,,,22:42.0,Knapp's Cyclery Racing P/B Enduroworx
9,433737,William,Gerboth,,,22:46.0,Skylands Cycling
10,459421,Richard,Lavigne,,,23:13.0,Crank Addicts p/b Hilltop
11,217251,Marcin,Wojcik,,,24:03.0,Aistriu Cycling

Senior Women
1,554184,Austin,Barth,,,26:03.0,Watts Up Cycling
2,547395,Ann Marie,Miller,,,28:08.0,CRCA/NY Vision Group-Fuoriclasse Racing
3,189722,Nancy,Ford,,,28:09.0,FinKraft Women's Cycling Team
4,49047,elizabeth,tyrell,,,28:32.0,sturdy girls
5,499862,Kate,Tormey,,,29:18.0,Finkraft Cycling Team
6,382163,Nicole,Ragonese,,,29:50.0,Watts Up Cycling
