Men TT Cat 4/5
4,370713,Brian,BARRINGER,,,00:20:25,
5,398392,John,PIPER,,,00:20:28,Aistriu Cycling
6,385354,Scott,HARRINGTON,,,00:21:14,QCW P/B Cadence Cycling
7,251185,Scott,CULLEN,,,00:21:38,PSRacing/BTB
8,376927,Matt,MCQUAID,,,00:21:43,
9,377316,James,GRIFFIN,,,00:21:53,Team B3 Bicycles
10,102332,Daniel,SHELANSKEY,,,00:22:06,Caffeinated Cyclist Racing
11,46984,George,KOTOKIS,,,00:22:08,Guy's Racing Club
12,255713,Dan,CONLIN,,,00:22:22,Active Yards / Chester County Velo
13,192230,Mark,COWIN,,,00:22:29,Team ProPower/Cycle Solutions
14,182229,Francis,CINOA,,,00:22:53,Firenze Cycling
15,298017,John,DZUBINSKI,,,00:24:17,Tri State Velo

Men Non-TT Cat 5
1,531982,Rick,PEREZ,,,00:19:29,Team B3 Bicycles
2,547395,Mike,MILLER,,,00:20:07,FIF Cycling
3,,John,DIGREGORIO,,,00:20:48,Sneakers & Spokes
4,573067,Edward,ICKOWSKI,,,00:21:09,Nin.jacycling
5,531121,Philip,MANIA,,,00:21:10,Team ProPower/Cycle Solutions
6,551844,Daryl,SOUTHWOOD,,,00:21:20,Powered by Stages
7,549211,Ryan,FREY,,,00:21:36,QCW P/B Cadence Cycling
8,568390,David,SOUTH,,,00:22:11,Hamilton Cycling
9,535839,Steven,RICHMOND,,,00:23:37,City Electric
10,481708,Ian,GORDON,,,00:23:47,
11,570794,Joseph,FAMULARO,,,00:24:18,
12,,Michael,TOSH,,,00:24:40,
13,,Trevor,MASSACONI,,,00:24:50,Wooden Wheels Multi-Sport
DNF,529734,Joe,EMDE,,,,Team B3 Bicycles
DNS,,Adam,DIBARTOLO,,,,

Women Non-TT Open
1,551563,Patricia,SONN,,,00:22:23,Watts Up Cycling
2,277608,Candace,KENNEDY-HESS,,,00:23:46,Sturdy  Girl / Vanderkitten
3,536933,Jenna,MCENTEE,,,00:24:36,Action Wheels
4,425365,Marjory,MCCOY,,,00:26:27,PSRacing/BTB
5,470339,Karen,CLARK,,,00:29:02,Watts Up Cycling
6,507856,Ellen,HARDY,,,00:29:58,BYRNE Racing LLC

Women Non-TT Cat 5
1,554037,Nancy,TOOLAN,,,00:23:55,Team ProPower/Cycle Solutions
2,549341,Layla,DOMAN,,,00:24:08,Getting It In Cyclists
3,546540,Kristine,TANJUTCO,,,00:24:39,Team B3 Bicycles
4,530451,Lynn,MUELLER,,,00:27:06,Cycle Craft/Bulldogs
5,,Stephanie,EGGER,,,00:27:11,Sturdy Girl Cycling Club
6,539291,Christine,PENN,,,00:27:32,Sturdy Girl Cycling
7,,Kristin,TOTORO,,,00:27:55,

Senior Men
1,297729,Nathaniel,ALTOM,,,00:17:44,Kelly Benefit Strategies / LSV
2,482035,Chris,YURA,,,00:17:48,Honey Stinger Hive
3,433737,William,GERBOTH,,,00:17:54,Skylands Cycling
4,459421,Richard,LAVIGNE,,,00:18:04,Crank Addicts p/b Hilltop
5,248847,Toby,HANNA,,,00:18:20,Knapp's Cyclery Racing P/B Enduroworx
DNS,339446,Joseph,LAO,,,,Voodoo Racing

Senior Women
1,371335,Shannon,KAPLAN,,,00:19:50,JL Velo Ambassadors
2,223018,Pamela,WAHL,,,00:20:43,Aistriu Cycling
3,499862,Kate,TORMEY,,,00:21:04,Finkraft Cycling Team
4,127444,Ann Marie,MILLER,,,00:21:13,CRCA/NY Vision Group-Fuoriclasse Racing
5,386880,Alisha,SHUTLER,,,00:22:28,Tulsa Wheelmen
6,49047,Elizabeth,TYRELL,,,00:22:48,sturdy girls
7,209826,Jody,TWER,,,00:24:28,Sturdy Girl Cycling
8,407992,Jeanne,DAVIS,,,00:31:06,Team Somerset
DNS,507856,Ellen,HARDY,,,,BYRNE Racing LLC
